Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Administration & Finance Directorate,Value in Millions (VT),163.091103
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Education Services Directorate,Value in Millions (VT),63.86
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Higher Education,Value in Millions (VT),10.0
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Office of the Director General,Value in Millions (VT),9.963338
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Policy & Planning Directorate,Value in Millions (VT),7.285
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Primary Schools,Value in Millions (VT),390.746164
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Secondary Schools,Value in Millions (VT),135.4917
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Teacher Education,Value in Millions (VT),31.6
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,"Technical, Vocational & Continuing Education",Value in Millions (VT),10.0
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Tertiary Education & Post Schooling,Value in Millions (VT),1.4
2016,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Training & Scholarship Coordination,Value in Millions (VT),2.4
2016,By Ministry,Budget,Ministry of Education & Training,Education Commissions and Councils,"Other  Authority, Boards & Councils",Value in Millions (VT),25.0
2016,By Ministry,Budget,Ministry of Education & Training,Education Commissions and Councils,Teaching Services Commission,Value in Millions (VT),4.0
2016,By Ministry,Budget,Ministry of Education & Training,MoE Cabinet,Cabinet Support Division,Value in Millions (VT),7.6
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Border Control,Value in Millions (VT),12.476561
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Corporate Services,Value in Millions (VT),26.827592
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Customs and Excise Collections,Value in Millions (VT),25.349003
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Information Services,Value in Millions (VT),77.67581
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Rates and Taxes Collection,Value in Millions (VT),25.120888
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,VAT Collections,Value in Millions (VT),19.37238
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Central Payments,Value in Millions (VT),766.919092
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Chamber of Commerce and Industry (CCI),Value in Millions (VT),30.0
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Corporate Services,Value in Millions (VT),34.920731
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Economic Policy Development,Value in Millions (VT),7.051531
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Former Leaders Payment,Value in Millions (VT),9.85
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Contributions to International Organisation,Value in Millions (VT),30.0
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Financial Services,Value in Millions (VT),188.692188
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant SPBEA,Value in Millions (VT),134.2
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to Vanuatu National Archives,Value in Millions (VT),10.4
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to VIPA,Value in Millions (VT),43.668264
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grants to Institutions,Value in Millions (VT),459.515006
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Information Services,Value in Millions (VT),61.331584
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Ministry Executive & Internal Audit,Value in Millions (VT),2.841023
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Public Debt Provisions,Value in Millions (VT),2861.079432
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Utility Regulatory Authority,Value in Millions (VT),102.226099
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agricultural Research and Training Centre (VARTC),Value in Millions (VT),39.692438
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agriculture College,Value in Millions (VT),82.800392
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Broadcasting and Television Corporation (VBTC),Value in Millions (VT),60.193317
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Cultural Centre (VCC),Value in Millions (VT),26.291633
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime Administration (VMA),Value in Millions (VT),15.0
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime College,Value in Millions (VT),41.255243
2016,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Tourism Office (VTO),Value in Millions (VT),229.98978
2016,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,Portfolio Management,Value in Millions (VT),4.769753
2016,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Corporate Services,Value in Millions (VT),41.852842
2016,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Government Financial Services,Value in Millions (VT),0.517772
2016,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Ministry Executive & Internal Audit,Value in Millions (VT),18.905318
2016,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Corporate Services,Value in Millions (VT),6.89045
2016,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Ministry Executive & Internal Audit,Value in Millions (VT),0.52
2016,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Provincial Statistics Offices,Value in Millions (VT),7.650953
2016,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade Negotiation,Value in Millions (VT),10.727555
2016,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade Policy & Administration,Value in Millions (VT),3.775026
2016,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,Operations of the Department of Foreign Affairs,Value in Millions (VT),111.554076
2016,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,Portfolio Coordination,Value in Millions (VT),18.592184
2016,By Ministry,Budget,Ministry of Health,Department of Health,Community Health Services,Value in Millions (VT),53.834532
2016,By Ministry,Budget,Ministry of Health,Department of Health,Corporate Services,Value in Millions (VT),89.08701
2016,By Ministry,Budget,Ministry of Health,Department of Health,Health Sector Human Resource Development,Value in Millions (VT),28.515972
2016,By Ministry,Budget,Ministry of Health,Department of Health,Hospital Services,Value in Millions (VT),241.042013
2016,By Ministry,Budget,Ministry of Health,Department of Health,Medical Supplies Stock,Value in Millions (VT),212.653212
2016,By Ministry,Budget,Ministry of Health,Health Cabinet,Ministry Executive,Value in Millions (VT),5.124338
2016,By Ministry,Budget,Ministry of Health,Health Cabinet,Portfolio Management,Value in Millions (VT),11.793012
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,Civil Aviation Management and Administration Support,Value in Millions (VT),38.583575
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,Ports Administration,Value in Millions (VT),119.106798
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,Development and Maintenance of Government Infrastructure,Value in Millions (VT),387.34149
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,Government Contributions to Projects,Value in Millions (VT),540.0
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,Director General and Corporate Services,Value in Millions (VT),50.550572
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,Portfolio Coordination,Value in Millions (VT),8.305864
2016,By Ministry,Budget,Ministry of Internal Affairs,Civil Registry Office,Civil Registry,Value in Millions (VT),1.747107
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Immigration,Border Control,Value in Millions (VT),19.521253
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Immigration,Issue of Passports,Value in Millions (VT),2.14428
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Labour,Labour Regulation,Value in Millions (VT),15.982019
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,Administration of Regional Services,Value in Millions (VT),25.370085
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,Grants to Municipalities,Value in Millions (VT),10.0
2016,By Ministry,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,Grants to Provinces,Value in Millions (VT),202.0
2016,By Ministry,Budget,Ministry of Internal Affairs,Electoral Office,Electoral Services,Value in Millions (VT),15.869853
2016,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,Conduct of Elections,Value in Millions (VT),20.0
2016,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,Corporate Services,Value in Millions (VT),29.086053
2016,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,Crime Prevention,Value in Millions (VT),0.5
2016,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,Independence Celebration,Value in Millions (VT),7.6165
2016,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,Portfolio Management,Value in Millions (VT),5.559184
2016,By Ministry,Budget,Ministry of Internal Affairs,Police Service Commission,Police Service Commission,Value in Millions (VT),1.000505
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,Vanuatu Mobile Force,Value in Millions (VT),16.6448
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,Joint Command and Control,Value in Millions (VT),39.257504
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,Police District Central,Value in Millions (VT),4.58
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,Police District Northern,Value in Millions (VT),6.585715
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,Police District Southern,Value in Millions (VT),16.86322
2016,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,Police Maritime Wing,Value in Millions (VT),9.120088
